Revenue,Zip,DollarPerPet,DollarPerClinic,TotalPets,TotalClinics,PetsPerClinic,Product.Sales,Product.Sales2,Avg.Vet.Cost,PercentCoupon,NumVets5mi,NmVets10mi,Est.Median.Inc,Rnd.Inc.5,Rnd.Pop,Population,Households,Est.Median.Inc2,Rnd.Inc.10,Pop3,Household4,Male,Female,White,PercWhite,Black,PercBlack,American.Indian,Asian,PercAsian,Hawaiian,Other.Race,X2Races,HispOrigin,PercHispanic,X2025Pop,Male5,Female6,White7,Black8,AmInd9,Asian10,HW11,Other12,X2Race13,HispOrigin14,X2025Pop15,target
86161.3779,94925,89.1,1567.0783,954,51,18.71,0.29,24651.6,183,0.03,16,29,118878.0497,130000,140000,135502,53948,113366.8,120000,294259,114916,66804.36,68697.74,104350.99,0.75,3426.22,0.02,371.25,7355.73,0.05,123.83,13741.96,6132.12,24449.37,0.17,144779.36,144107.92,150151.35,204298.9,14761.27,861.34,21101.9966,852.54,37044.12,14189.86,72651.07,325253.99,86161.3779
77570.66,95453,82.09,1491.74,945,52,18.17,0.25,19392.67,189,0.01,1.37,2,48215.94,49700,20000,10085,4151,48532.51,50000,25653,10563,4694.33,5390.98,7499.1,0.56,148.01,0.01,601.78,197.81,0.01,1.32,1394.82,242.47,3827.6822,0.207,9869.88,12425.02,13228.47,19629.76,480.46,776.2084,428.2,37.5585,3309.12,704.37,5211.94,25179.75,77570.66
17513,95437,74.21,1347.15,236,13,18.15,0.23,4027.99,248,0.01,1,2,47775.62,50000,10000,9878,3963,50799.68,60000,14252,5830,4934.89,4943.07,8363.6012,0.7351,80.01,0.01,148.31,156.98,0.02,14.68,711.8378,434.83,2646.89,0.26,9441.95,7156.3541,7132.81,11895,97.11,323.963,273.06,20,1106.3,581.55,3253.95,13471.72,17513
77527.77,93117,83.01,1490.92,934,50.61,17.96,0.3,23258.33,192,0.01,5.92,15,83789.35,90000,1.00E+05,96555,30516,82744.79,90000,185902,65513,47720.07,48835.04,68779.57,0.69,2269.22,0.02,856.24,10279.35,0.0802,27,9354.63,4989.11,25809.01,0.26,103894.72,92505.76,93395.9,139803.75,3453.24,1638.5,13768.52,172,18776.05,8289.6,57807.26,202340.94,77527.77
55833.49,95670,83.33,1469.3,708.51,38,17.63,0.27,15075.04,176,0.02,18,45,68766.26,70000,240000,237980,92387,71206.25,80000,796440,294757,114838,123142.43,181785.77,0.76,12058.69,0.05,1106.86,16600.41,0.07,734.57,9139.38,16554.76,38127.86,0.16,265110.82,390035.41,406404.57,566885.33,53400,4871.43,68489,3952.91,47562.2,51279.12,149313.6,879888.5,55833.49
80197.39,95831,91.65,1816.2009,1123.8,50,17.5,0.29,23257.24,76,0.03,7,29,65904.09,70000,210000,203589,74219,63469.65,70000,720154,258621,98308.95,105280.27,96467.49,0.46,26249.98,0.12,1060.37,39943.51,0.19,3768.93,20199.86,15899.09,58169.2,0.28,237205.6225,350191.45,369962.35,371748.3241,88629.28,5130.75,144819.51,11302.87,75471.36,55351.78,200132.75,798721.7,80197.39
14300.79,95405,78.3761,1186.6488,266.05,11,17.45,0.21,3003.17,203,0.0378,10,35,73102.59,80000,160000,155941.86,56960,76442.88,80000,306414,113081,74680.02,78487.7,105291.93,0.66,3226.64,0.02,2239.28,7674.06,0.05,950.82,24301.82,9483.16,49608.63,0.31,174923.8061,148675.89,157738.21,218866.21,6240.84,3585.1,14397.17,1318.55,43507.89,18498.33,91140.4,332152.7,14300.79
79139.78,94070,92.45,1551.76,856,51,17,0.31,24533.33,183,0.02,19.12,39,136246.76,140000,280000,279175,99476.28,138436.88,140000,540248,191428,138647.27,140528.13,164979.61,0.59,4482.62,0.02,1226.36,61492.9,0.22,2032.56,29353.59,15607.76,66792.88,0.24,309872.72,267305.3306,272570.46,321180.4577,12999.57,2441.47,119970.05,7260.28,52804.76,29301.92,118405.67,608921.01,79139.78
19022.33,95425,86.47,1463.26,220,19.07,16.92,0.26,5604.1602,185,0.02,1.51,2.74,67476.88,70000,10000,7428,2660,70904.2,80000,12468,4557,3571.09,3856.62,5843.3562,0.55,63.22,0.01,221.82,244.7,0.02,11.56,1135.36,272.25,2428.36,0.24,8413.49,6146.32,6462.7862,9464.69,108.48,352.66,408.71,19.21,1601.17,513.26,3548.26,14286.0192,19022.33
41139.69,94536,88.47,806.66,465,51,16.78,0.23,9462.13,183,0.02,11,33.48,117566.59,120000,340000,331632,102247,109820.24,110000,636433,196008,166608.96,165023.21,84783.69,0.25,27307.3489,0.04,1598.14,169961.48,0.5,3490.87,40558.72,17830.38,64231.31,0.19,389904.67,318229.92,318203.56,198063.26,40536.16,3447.58,265169.22,10331.87,83022.12,35863.27,166044.88,746798.82,41139.69
47107.0846,95678,81.02,1150.4388,401,48,16.69,0.25,8122.01,177,0.03,19,51,81221.04,90000,280000,279783,102666,79532.83,80000,723036,268208.62,137174.106,143303.2,223714.28,0.8,7758.26,0.03,1565.71,19563.259,0.07,849.01,10126.08,15490.51,43466.83,0.16,318245.48,353698.57,378280.598,559896.64,31807.02,3518.37,56069.62,2705.74,25764.81,43273.47,112549.2,802608.81,47107.0846
310076.34,94545,85.56,2981.5,3624,104,16.44,0.26,80619.85,190,0.01,11,36.45,86632.43,90000,350000,342340,104545,95666,1.00E+05,758551,241462,170090.11,172249.92,125484.07,0.36,35284.6626,0.09,2481.63,109373.01,0.31,5502.7,47259.06,20440.23,108623.2498,0.34,404457,375372.53,383178.1,338515.8876,79972.4668,5483.58,249924.7163,9018.02,103978.93,45992.08,223606.63,892847.43,310076.34
43130.43,93612,67.5,829.43,639,52,16.41,0.13,7541.4794,182,0.01,17,30,59838.92,60000,320000,307536.33,104999,58351.56,60000,678052,220673,155067.09,162211.77,200599.75,0.63,15545.7,0.05,3496.7,42485.94,0.13,699.31,40902.16,13549.3,128608.11,0.4,333863.19,334540.46,343511.32,419519.81,42268.57,7729.16,85598.65,1091.01,93421.94,28422.64,275689.6599,719267.08,43130.43
